AirportName,CancelReason,NumCancel
"Portland, OR: Portland International",Weather,8
"Prescott, AZ: Prescott Regional Ernest A Love Field",Weather,1
"Providence, RI: Theodore Francis Green State",Carrier,7
"Provo, UT: Provo Municipal",Weather,1
"Pueblo, CO: Pueblo Memorial",Weather,2
"Quincy, IL: Quincy Regional-Baldwin Field",Weather,1
"Raleigh/Durham, NC: Raleigh-Durham International",Carrier,18
"Rapid City, SD: Rapid City Regional",Weather,9
"Reno, NV: Reno/Tahoe International",Carrier,8
"Richmond, VA: Richmond International",Weather,3
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field","National Air System",1
"Rochester, MN: Rochester International","National Air System",1
"Rochester, NY: Greater Rochester International","National Air System",4
"Rock Springs, WY: Southwest Wyoming Regional",Weather,2
"Roswell, NM: Roswell International Air Center",Weather,1
"Sacramento, CA: Sacramento International",Carrier,23
"Saginaw/Bay City/Midland, MI: MBS International",Weather,2
"Saipan, TT: Francisco C. Ada Saipan International",Weather,1
"Salina, KS: Salina Regional","National Air System",1
"Salt Lake City, UT: Salt Lake City International",Weather,12
"San Angelo, TX: San Angelo Regional/Mathis Field","National Air System",4
"San Antonio, TX: San Antonio International",Weather,32
"San Diego, CA: San Diego International",Carrier,41
"San Francisco, CA: San Francisco International",Carrier,39
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,54
"San Juan, PR: Luis Munoz Marin International",Carrier,3
"San Luis Obispo, CA: San Luis County Regional",Weather,9
"Santa Ana, CA: John Wayne Airport-Orange County",Weather,11
"Santa Barbara, CA: Santa Barbara Municipal",Weather,4
"Santa Fe, NM: Santa Fe Municipal",Weather,2
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Weather,31
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Weather,2
"Savannah, GA: Savannah/Hilton Head International","National Air System",4
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",Weather,2
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Carrier,1
"Seattle, WA: Seattle/Tacoma International",Carrier,24
"Shreveport, LA: Shreveport Regional",Weather,5
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field","National Air System",2
"Sioux Falls, SD: Joe Foss Field",Weather,6
"South Bend, IN: South Bend International",Weather,2
"Spokane, WA: Spokane International",Weather,2
"Springfield, IL: Abraham Lincoln Capital",Weather,1
"Springfield, MO: Springfield-Branson National","National Air System",4
"St. George, UT: St George Regional",Carrier,1
"St. Louis, MO: St Louis Lambert International",Carrier,15
"Stillwater, OK: Stillwater Regional","National Air System",3
"Syracuse, NY: Syracuse Hancock International",Weather,5
"Tallahassee, FL: Tallahassee International",Carrier,3
"Tampa, FL: Tampa International",Weather,12
"Texarkana, AR: Texarkana Regional-Webb Field","National Air System",2
"Traverse City, MI: Cherry Capital",Weather,1
"Trenton, NJ: Trenton Mercer",Weather,7
"Tucson, AZ: Tucson International",Weather,11
"Tulsa, OK: Tulsa International",Weather,13
"Tyler, TX: Tyler Pounds Regional",Weather,9
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Weather,5
"Vernal, UT: Vernal Regional",Weather,1
"Waco, TX: Waco Regional","National Air System",5
"Washington, DC: Ronald Reagan Washington National",Weather,50
"Washington, DC: Washington Dulles International","National Air System",18
"Watertown, SD: Watertown Regional",Weather,4
"West Palm Beach/Palm Beach, FL: Palm Beach International",Carrier,3
"White Plains, NY: Westchester County",Weather,5
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal","National Air System",3
"Wichita, KS: Wichita Dwight D Eisenhower National",Weather,11
"Wilmington, NC: Wilmington International",Carrier,1
"Wrangell, AK: Wrangell Airport",Carrier,2
"Yakutat, AK: Yakutat Airport",Carrier,4
"Yuma, AZ: Yuma MCAS/Yuma International",Weather,1
